326,25.7,78.3,27,80.6
327,31,87.8,40.1,104.3
328,29,84.2,29.4,84.9
329,29,84.2,37,98.5
330,30,86,33.9,92.9
331,22.8,73,24.8,76.6
332,17.2,63,17.2,63
333,31,87.8,44.7,112.4
334,18,64.4,18,64.4
335,19,66.2,19,66.2
336,34,93.2,43.8,110.8
337,22,71.6,24.5,76.1
338,14,57.2,14.7,58.4
339,18,64.4,18,64.4
340,29,84.2,34,93.2
341,28,82.4,32.7,90.8
342,28.9,84,33.4,92.1
343,30,86,36.9,98.5
344,18,64.4,18,64.4
345,13,55.4,12.5,54.5
346,30,86,28.2,82.8
347,27.8,82,31.7,89.1
348,18,64.4,18,64.4
349,26,78.8,28.8,83.9
350,23.4,74.1,25.8,78.4
351,29,84.2,33.7,92.6
352,15,59,13.7,56.6
353,14,57.2,14.7,58.4
354,27.7,81.9,31.2,88.2
355,24.1,75.4,26.2,79.2
356,9,48.2,8.3,46.9
357,25,77,26.5,79.8
358,24,75.2,25.8,78.4
359,18,64.4,18,64.4
360,26,78.8,28.8,83.8
361,26.2,79.2,28.1,82.6
362,27,80.6,32.3,90.1
363,14,57.2,14.7,58.4
364,10,50,10.3,50.5
365,20,68,20,68
366,20,68,20,68
367,18,64.4,18,64.4
368,31,87.8,34.9,94.8
369,30.1,86.2,31.4,88.5
370,17.8,64,17.9,64.2
371,26,78.8,27.4,81.4
372,25,77,27.7,81.8
373,22,71.6,24.6,76.2
374,18,64.4,18,64.4
375,24,75.2,24.8,76.7
376,28.7,83.7,33.4,92.1
377,21,69.8,21,69.8
378,17.3,63.1,17.3,63.1
379,32,89.6,33.2,91.8
380,11,51.8,9.7,49.5
381,22.2,72,24.6,76.3
382,9,48.2,7.1,44.7
383,22,71.6,22.4,72.3
384,24,75.2,26.2,79.1
385,31,87.8,44.8,112.7
386,31,87.8,34.2,93.5
387,18.8,65.8,18.8,65.8
388,12.5,54.5,10.7,51.3
389,8.1,46.6,5.7,42.3
390,18.1,64.6,18.1,64.6
391,20,68,20,68
392,23,73.4,25,77
393,5.1,41.2,5.1,41.2
394,22,71.6,24.5,76.1
