252,494,12.3,3.8,0.7,12.8,95.8,1,2
253,191.9,54.4,1.4,2,3.3,10.7,1,1
254,257,45.8,17.5,5.3,7.8,9.8,1,1
255,300.4,15,13,1.1,9.7,12.6,1,1
256,387.2,29.7,1.2,1.5,4.9,7.9,1,1
257,280.4,32.9,0.4,0.2,1.1,1.7,1,1
258,140.2,5,2,0,3.5,5,1,1
259,208.6,48.6,3.8,1.6,3.9,4.3,1,1
260,447.3,17.7,1.7,0.7,6.1,10.9,1,1
261,343.8,72.2,9.3,8.1,27.2,31.7,2,3
262,257,27.9,1.2,0.8,1.8,3.8,1,1
263,600.8,15.9,19.4,64.9,36.5,43,2,4
264,367.2,24.3,0.3,0.1,0.8,2.3,1,1
265,387.2,20.2,0.4,0.3,1,1.6,1,1
266,250.3,10.6,4.5,3.8,1.6,6.3,1,1
267,801.1,30.4,12.9,7.3,8.1,21.1,1,1
268,313.8,17.5,10.2,0.4,5.4,7.1,1,1
269,907.9,0.1,12.7,1.3,9.4,30.1,1,1
270,267,35.4,4.9,1.4,13.5,14.5,1,2
271,247,57.9,0.2,0.3,1.3,2.5,1,1
272,370.5,43.6,9.9,8.6,15.4,38.3,1,2
273,5928,4.6,82.3,69.6,243.3,317.8,5,10
274,440.6,8.1,85,29.3,14.8,39.6,1,2
275,233.7,74.4,3.5,3.7,12.6,41.1,1,2
276,233.7,51.5,2.5,1,2.9,6.4,1,1
277,297.1,31.5,31.9,3.4,15.4,29.6,1,2
278,313.8,17.5,10.2,0.4,5.4,7.1,1,1
279,727.7,14.5,10.7,3.4,11.1,22.3,1,1
280,200.3,20.4,23.3,21.2,4.8,6.3,1,1
281,303.8,37.2,16.1,4.4,19.2,34.2,2,2
282,233.7,75.1,5.2,11.7,4.7,12.8,1,1
283,620.8,35.1,5.8,6.6,8.7,21.4,1,1
284,150.2,13.4,0,0.1,0.7,3.5,1,1
285,223.6,95.8,2.4,4.9,25.8,84.3,2,3
286,337.1,20.9,24.3,8.5,5.8,8.3,1,1
287,787.7,51.5,10,3.4,20.4,37.5,2,2
288,213.6,50.8,4,1.6,2.9,3.3,1,1
289,227,95.8,1.6,2.8,13.1,27.6,1,2
290,847.8,14.3,11.5,1.6,64.7,74.4,3,8
291,223.6,44.4,0.2,0.2,1.5,1.9,1,1
292,343.8,7,3.6,0.8,4.1,4.7,1,1
293,212,26.8,10.3,1.9,5.5,6.6,1,1
294,217,48.6,1.7,1.7,7.6,8.5,1,1
295,186.9,1.5,17,1.1,6.1,7.6,1,1
296,267,52.9,0.7,0.8,2.1,4.6,1,1
297,403.9,44.7,1.4,0.6,4.4,6.1,1,1
298,3418,4.4,78.8,57.2,51.1,60.1,3,6
299,173.6,23.6,0.5,0.3,1,2.4,1,1
300,1108.2,1.3,6.1,1.3,42.1,47.7,3,5
301,200.3,88.7,0.4,0.7,3.2,13.2,1,1
302,161.9,29.7,0,0.1,1.8,4.8,1,1
303,320.4,42.9,1.9,2,14.9,40.7,1,2
304,223.6,52.2,3,2.8,5.8,10.5,1,1
305,337.1,40.1,17.8,14.7,6.6,10.4,1,1
306,158.6,9.2,0,0,0.5,0.8,1,1
307,175.2,25.4,1.1,0.9,1.7,1.9,1,1
308,183.6,20,2.9,0.4,2.6,3.2,1,1
309,220.3,36.5,9.3,7.1,5.5,7.6,1,1
310,190.3,41.8,1.7,0.4,3,3.9,1,1
311,213.6,88,0.9,1.6,10,46.7,1,1
312,807.8,18.4,5.7,0.8,26.5,49.8,2,3
313,383.9,36.5,2,0.5,21.3,24.3,2,2
314,313.8,41.8,0.8,1.2,15.5,21.1,2,2
315,293.7,20.2,9.1,1,25,28.6,2,3
316,1508.7,24.7,14.6,1.9,77.4,103.6,4,10
317,260.4,60.1,13.2,3.3,6.1,7.9,1,1
318,213.6,60.1,0.1,0.2,1.2,2,1,1
319,297.1,9.6,5.7,11,13.2,16.4,1,2
320,420.6,23.3,0.4,0.2,4.8,6,1,1
321,654.2,28.6,0.9,0.2,13.5,14.1,1,2
322,250.3,77.3,1.2,4.8,9.4,12.3,1,1
323,320.4,70.8,4.2,10.9,22.2,23.7,2,2
324,243.7,31.8,10.9,6.3,2.4,3.6,1,1
325,185.3,64.4,2.2,0.9,44.3,142.6,3,5
326,647.5,98.7,8.7,5.1,46.3,53.2,3,5
327,203.6,12.5,0.1,0.1,0.8,2.1,1,1
328,514,31.5,0.5,0.1,19.1,19.3,2,2
329,801.1,4.7,19,11.8,8.6,11.4,1,1
330,207,69.4,1.2,1.7,3,11.5,1,1
331,370.5,25.8,0.7,0.1,12,12.3,1,2
332,370.5,38.6,18.5,10.3,12.6,25.8,1,2
333,330.5,47.2,6.6,1.9,2.2,5.9,1,1
334,253.7,28.6,5.2,2.2,19.1,20,2,2
335,217,65.8,1.2,0.7,3.6,8.3,1,1
